Block,Row,Col,X_ft,Y_ft,Plot_ID,Entry,Group,establishment_pct,Yield_bu_ac,protein,oil
B2,7,0,44,84.38,P128,AG29XF5,AG,77.51616149,42.1757546,7.111791086,1.894315218
B2,7,1,52,84.38,P152,LD21-7234,LD,75.33279291,42.90913703,7.82933273,2.215804056
B2,7,2,60,84.38,P176,AG29XF4,AG,89.18742835,45.41321511,7.336270769,2.553900241
B2,7,3,68,84.38,P200,LD21-5253,LD,82.11972261,46.30449216,7.133159862,1.939770919
B2,7,4,76,84.38,P224,AG29XF5,AG,97.44559947,55.23615109,7.968268718,1.468094019
B3,0,0,84,5.62,P241,LD22-4283,LD,91.21205976,48.87255714,8.233686229,2.028820402
B3,0,1,92,5.62,P265,LG3216,LG3216,79.17478256,42.18185417,7.321436774,2.487843654
B3,0,2,100,5.62,P289,LD20-4471,LD,75.05437894,40.01199798,7.849535139,1.463549454
B3,0,3,108,5.62,P313,LG3216,LG3216,99.4652618,51.32403186,7.990366217,1.300127222
B3,0,4,116,5.62,P337,LD20-4988,LD,88.71040944,47.79703233,7.470363556,1.572835109
B3,1,0,84,16.88,P242,LG3216,LG3216,98.0477864,54.62273898,7.997700784,1.281690565
B3,1,1,92,16.88,P266,LD11-2170,LD,64.73914309,37.34926946,8.080093496,2.122612156
B3,1,2,100,16.88,P290,LG3216,LG3216,94.02134717,50.14002033,7.135972456,2.185078682
B3,1,3,108,16.88,P314,LD20-5413,LD,85.48295536,48.80781203,7.60096318,1.5067076
B3,1,4,116,16.88,P338,LG3216,LG3216,64.87686713,34.36500779,7.010362065,1.821001323
B3,2,0,84,28.12,P243,LD20-5738,LD,83.53032,47.25622653,6.806315055,2.046227688
B3,2,1,92,28.12,P267,LG3216,LG3216,87.4438546,47.2205261,7.634858483,2.214051926
B3,2,2,100,28.12,P291,LD17-10473L,LD,60.49210744,33.32896704,7.15554951,2.418828682
B3,2,3,108,28.12,P315,LG3216,LG3216,78.17271847,41.96200481,6.861171286,1.678360995
B3,2,4,116,28.12,P339,LD20-4542,LD,93.01598045,55.19363697,7.629334878,1.21495129
B3,3,0,84,39.38,P244,LG3216,LG3216,71.81436101,39.47617572,7.752732117,1.890570066
B3,3,1,92,39.38,P268,LD19-10076,LD,78.34192327,42.22055975,7.589567343,2.013606614
B3,3,2,100,39.38,P292,LG3216,LG3216,77.69256508,43.07738102,7.418880502,1.641706215
B3,3,3,108,39.38,P316,LD21-5665,LD,72.07709566,39.21347643,7.107981268,2.476219242
B3,3,4,116,39.38,P340,LG3216,LG3216,96.73767582,50.61508414,7.11205852,1.464699943
B3,4,0,84,50.62,P245,LD00-2817P,LD,91.25176142,51.1857625,8.193931628,1.959921723
B3,4,1,92,50.62,P269,LG3216,LG3216,64.42353644,34.90788499,6.961454976,2.000917053
B3,4,2,100,50.62,P293,LD20-11748,LD,99.88138631,55.1542704,8.380068427,1.116590323
B3,4,3,108,50.62,P317,LG3216,LG3216,95.16800097,50.68095736,8.048422998,1.587866433
B3,4,4,116,50.62,P341,LD19-10244,LD,71.35633751,38.72811559,6.577418591,2.407504419
B3,5,0,84,61.88,P246,LG3216,LG3216,93.47586319,50.71043352,7.950862528,1.678794841
B3,5,1,92,61.88,P270,LD21-3090,LD,64.25678127,33.81220034,7.366279202,2.280898994
B3,5,2,100,61.88,P294,LG3216,LG3216,99.96418922,54.99715813,7.913297547,1.78649495
B3,5,3,108,61.88,P318,LD21-5253,LD,86.62738944,46.26466486,7.600188345,1.474152354
B3,5,4,116,61.88,P342,LG3216,LG3216,86.00500062,43.88767717,7.488499379,1.89709014
B3,6,0,84,73.12,P247,LD17-10473F,LD,63.61762908,34.88239779,7.293052276,2.64343672
B3,6,1,92,73.12,P271,LG3216,LG3216,95.88133596,52.02924297,8.337528906,1.447673594
B3,6,2,100,73.12,P295,LD21-5991,LD,61.15998013,33.26273553,6.307087195,2.337327861
B3,6,3,108,73.12,P319,LG3216,LG3216,69.63312232,38.00115585,6.64836302,2.41726127
B3,6,4,116,73.12,P343,LD21-5944,LD,65.72087501,34.56230929,6.33752689,2.660389142
B3,7,0,84,84.38,P248,LG3216,LG3216,91.07071763,48.29163077,7.38878918,1.830753053
B3,7,1,92,84.38,P272,LD07-3395bf,LD,67.92816909,38.00352724,7.308514976,2.067668795
B3,7,2,100,84.38,P296,LG3216,LG3216,96.42552909,52.08874279,8.332613281,1.688520225
B3,7,3,108,84.38,P320,LD21-7234,LD,86.25076157,47.48787627,7.233196856,2.140212172
B3,7,4,116,84.38,P344,LG3216,LG3216,61.44650842,31.83269844,6.468623899,2.289043008
B4,0,0,124,5.62,P361,AG35XF5,AG,60.21719337,32.55812198,6.013773398,2.027782029
B4,0,1,132,5.62,P385,LD21-7234,LD,62.06631668,34.17416472,6.652388983,2.420168208
B4,0,2,140,5.62,P409,AG38XF6,AG,84.23700711,42.84339125,6.426280114,1.424126085
B4,0,3,148,5.62,P433,LD21-3090,LD,92.05927243,46.92107766,7.204527258,2.020633204
B4,0,4,156,5.62,P457,AG40XFF5,AG,69.54211283,36.64128529,7.094309823,2.383489899
B4,1,0,124,16.88,P362,LD21-5944,LD,93.97635372,50.58028461,6.915368488,2.182002782
B4,1,1,132,16.88,P386,AG34XF6,AG,62.28927761,33.46811015,6.646326786,2.285433163
B4,1,2,140,16.88,P410,LD17-10473F,LD,92.03855415,50.25149405,7.258161841,1.949568608
B4,1,3,148,16.88,P434,AG36XF4,AG,97.11181721,51.68559346,8.430282743,1
B4,1,4,156,16.88,P458,LD21-5253,LD,90.88433596,50.27430614,8.195757239,2.070427423
B4,2,0,124,28.12,P363,AG34XF6,AG,87.92483136,45.63021606,7.721761199,2.31791693
B4,2,1,132,28.12,P387,LD07-3395bf,LD,93.51920875,50.81068354,7.709273481,2.294445354
B4,2,2,140,28.12,P411,AG38XF6,AG,61.60605198,32.09308618,7.318208505,1.982573848
B4,2,3,148,28.12,P435,LD20-11748,LD,68.07128443,36.6794053,7.307786538,2.156579964
B4,2,4,156,28.12,P459,AG35XF5,AG,64.99694717,35.66704147,7.126649092,2.154191397
B4,3,0,124,39.38,P364,LD21-5665,LD,80.18123961,43.43097586,7.089111428,2.072696189
B4,3,1,132,39.38,P388,AG40XFF5,AG,89.80752513,44.93116366,8.302606885,1.737634684
B4,3,2,140,39.38,P412,LD21-7234,LD,85.20047378,44.39256682,7.586069631,2.087232222
B4,3,3,148,39.38,P436,AG36XF4,AG,94.04524399,48.5865214,6.781020235,1.847884407
B4,3,4,156,39.38,P460,LD21-3090,LD,66.2085197,35.24538725,6.526236169,1.732145713
B4,4,0,124,50.62,P365,AG34XF6,AG,89.38484368,47.46139121,8.039876087,1.886662252
B4,4,1,132,50.62,P389,LD20-11748,LD,67.72165963,36.89243193,7.312492942,2.470896087
B4,4,2,140,50.62,P413,AG38XF6,AG,70.83035005,37.83916145,6.768356642,2.77499605
B4,4,3,148,50.62,P437,LD17-10473F,LD,88.39618789,49.23735662,6.38127683,1.810382889
B4,4,4,156,50.62,P461,AG35XF5,AG,99.2081914,51.73724645,7.462917653,1.124419869
B4,5,0,124,61.88,P366,LD07-3395bf,LD,84.46174424,46.01569406,7.217947245,1.935063087
B4,5,1,132,61.88,P390,AG36XF4,AG,62.1800126,33.92057459,6.87997459,2.314083583
B4,5,2,140,61.88,P414,LD21-5253,LD,84.6523588,44.75489948,8.190833315,2.0966157
B4,5,3,148,61.88,P438,AG40XFF5,AG,61.69402206,33.16357211,7.089622246,2.169124555
B4,5,4,156,61.88,P462,LD21-5665,LD,95.36582845,52.27886438,8.217934989,1.428213426
B4,6,0,124,73.12,P367,AG38XF6,AG,88.3831314,47.25819232,7.411057001,1.859152512
B4,6,1,132,73.12,P391,LD21-5944,LD,66.92511386,38.45802689,6.867458297,2.561214562
B4,6,2,140,73.12,P415,AG35XF5,AG,63.66884023,33.84015515,7.312412454,2.128999083
B4,6,3,148,73.12,P439,LD21-5665,LD,67.34132916,38.99387962,7.018582858,2.276840861
B4,6,4,156,73.12,P463,AG34XF6,AG,99.20108718,52.6741331,8.20327893,1.52574871
B4,7,0,124,84.38,P368,LD20-11748,LD,78.3424257,40.84724522,7.637523642,1.975550515
B4,7,1,132,84.38,P392,AG36XF4,AG,91.36323793,49.42124984,8.209610688,1.724694496
B4,7,2,140,84.38,P416,LD07-3395bf,LD,85.45633368,46.82028626,8.195098119,1.901693596
B4,7,3,148,84.38,P440,AG40XFF5,AG,82.896526,43.27141751,7.286534556,2.11977302
B4,7,4,156,84.38,P464,LD21-3090,LD,65.80521019,36.17063131,6.850972168,2.049628368
B5,0,0,4,95.62,P009,AG34XF6,AG,97.84097814,54.6944955,8.086048407,1.671966573
B5,0,1,12,95.62,P033,LD21-3090,LD,72.0537053,39.47620112,6.501236391,2.262790395
B5,0,2,20,95.62,P057,AG40XFF5,AG,83.12068863,46.77685863,7.475106264,1.658862095
B5,0,3,28,95.62,P081,LD17-10473F,LD,87.99103778,50.90985868,8.138728945,1.47971143
B5,0,4,36,95.62,P105,AG38XF6,AG,85.96932621,48.70762055,7.804413734,2.187777682
B5,1,0,4,106.88,P010,LD21-5944,LD,97.62377639,55.26983604,8.272911557,1.859115971
B5,1,1,12,106.88,P034,AG36XF4,AG,65.9375596,37.34245444,7.871770456,2.210467397
B5,1,2,20,106.88,P058,LD21-5665,LD,80.33410954,43.3690388,7.875027414,2.367719257
B5,1,3,28,106.88,P082,AG35XF5,AG,76.16137563,41.63875358,7.308053924,2.649938735
B5,1,4,36,106.88,P106,LD21-5253,LD,78.96674918,43.03972572,7.2889469,1.513293295
B5,2,0,4,118.12,P011,AG36XF4,AG,64.76870105,35.57903801,6.620471236,1.940344691
B5,2,1,12,118.12,P035,LD20-11748,LD,65.36378439,35.61838913,6.565859919,2.260934944
B5,2,2,20,118.12,P059,AG34XF6,AG,71.12302183,39.46366578,7.17570917,2.620099219
B5,2,3,28,118.12,P083,LD07-3395bf,LD,72.18818415,43.66283075,7.875770241,2.03693136
B5,2,4,36,118.12,P107,AG40XFF5,AG,77.11612855,41.90767093,7.54884182,2.032627885
B5,3,0,4,129.38,P012,LD21-7234,LD,84.43950188,47.76439237,7.687485602,1.754998768
B5,3,1,12,129.38,P036,AG35XF5,AG,85.3851647,46.73704638,7.910959831,1.508801354
B5,3,2,20,129.38,P060,LD21-3090,LD,76.47243586,43.39176884,7.660195059,2.268219198
B5,3,3,28,129.38,P084,AG38XF6,AG,76.35132438,42.4995348,6.9758027,2.586898677
B5,3,4,36,129.38,P108,LD21-7234,LD,68.70514107,39.03673964,6.705397719,2.300388105
B5,4,0,4,140.62,P013,AG34XF6,AG,83.53224994,47.90222964,7.717536306,1.376970183
B5,4,1,12,140.62,P037,LD21-5665,LD,72.68163645,43.04208826,7.099094241,1.395024787
B5,4,2,20,140.62,P061,AG36XF4,AG,61.44239337,34.47600564,6.001498855,2.410199986
B5,4,3,28,140.62,P085,LD07-3395bf,LD,76.73600177,45.22284864,7.783849148,2.23315893
B5,4,4,36,140.62,P109,AG35XF5,AG,78.965307,41.99667294,7.546855296,1.909476014
B5,5,0,4,151.88,P014,LD17-10473F,LD,69.02371473,38.92000078,7.072751709,1.848951185
B5,5,1,12,151.88,P038,AG38XF6,AG,82.89831732,47.25991985,7.553225395,1.850958413
B5,5,2,20,151.88,P062,LD20-11748,LD,82.63087602,47.85670476,7.379782579,2.083085325
B5,5,3,28,151.88,P086,AG40XFF5,AG,88.08008724,49.24634892,7.55883008,1.056267846
B5,5,4,36,151.88,P110,LD21-5253,LD,85.91793929,49.68948652,6.850911551,2.631331574
B5,6,0,4,163.12,P015,AG40XFF5,AG,86.09732226,48.61411799,7.244645475,2.051718939
B5,6,1,12,163.12,P039,LD21-5944,LD,72.64856607,42.58384148,7.560300323,1.975115541
B5,6,2,20,163.12,P063,AG34XF6,AG,91.49728888,52.26475044,7.331814756,1.66264888
B5,6,3,28,163.12,P087,LD07-3395bf,LD,81.96577534,47.53816424,7.483466855,1.772864946
B5,6,4,36,163.12,P111,AG36XF4,AG,77.25672781,43.19859375,7.340718386,2.264009999
B5,7,0,4,174.38,P016,LD21-5253,LD,85.04049924,44.84919281,7.625797955,1.66383443
B5,7,1,12,174.38,P040,AG35XF5,AG,74.42629338,41.96150548,6.965765127,1.70174099
B5,7,2,20,174.38,P064,LD21-5944,LD,80.50956978,41.81455314,7.327987502,2.360985826
B5,7,3,28,174.38,P088,AG38XF6,AG,89.46822754,48.05941338,7.74195551,1.785568382
B5,7,4,36,174.38,P112,LD21-7234,LD,95.45611547,54.89909104,7.765793765,1.291420432
B6,0,0,44,95.62,P129,AG29XF5,AG,96.84228789,53.634681,7.447015515,2.188333626
B6,0,1,52,95.62,P153,LG3216,LG3216,80.14531701,41.87253683,7.724990826,1.954059565
B6,0,2,60,95.62,P177,AG40XFF5,AG,80.81100459,43.15685756,7.298354429,2.14760184
B6,0,3,68,95.62,P201,LG3216,LG3216,91.99481643,52.02313198,7.902015196,1.324082607
B6,0,4,76,95.62,P225,AG35XF5,AG,72.57802767,38.7024771,8.137077519,1.723805204
B6,1,0,44,106.88,P130,LG3216,LG3216,93.49529449,53.78015043,7.703536298,2.094226734
B6,1,1,52,106.88,P154,AG29XF4,AG,79.76566586,43.68795083,7.122625309,1.966869726
B6,1,2,60,106.88,P178,LG3216,LG3216,64.63426897,35.78026797,6.787912994,1.839304139
B6,1,3,68,106.88,P202,AG34XF6,AG,62.88236588,36.26064831,7.083784094,2.208848959
B6,1,4,76,106.88,P226,LG3216,LG3216,93.67972844,50.73551291,8.186108884,1.780562792
B6,2,0,44,118.12,P131,AG36XF4,AG,62.22271668,32.9505742,7.743412021,1.713235959
B6,2,1,52,118.12,P155,LG3216,LG3216,71.22445745,38.53395932,7.478666249,2.113047765
B6,2,2,60,118.12,P179,AG38XF6,AG,73.36520162,40.61018495,6.754282725,2.301565172
B6,2,3,68,118.12,P203,LG3216,LG3216,66.91977781,35.35207637,6.135349452,2.453788103
B6,2,4,76,118.12,P227,AG35XF5,AG,72.55573479,39.30416087,7.029298129,2.360987178
B6,3,0,44,129.38,P132,LG3216,LG3216,89.70770267,47.75657725,8.622739115,1.425754337
B6,3,1,52,129.38,P156,AG29XF4,AG,60.58731374,34.02117693,7.197696129,1.946212851
B6,3,2,60,129.38,P180,LG3216,LG3216,93.08693698,51.17179741,8.944566999,2.070783375
B6,3,3,68,129.38,P204,AG38XF6,AG,94.26192094,51.79980493,7.677982309,2.114602217
B6,3,4,76,129.38,P228,LG3216,LG3216,74.89046293,40.51034079,7.48818824,1.514242757
B6,4,0,44,140.62,P133,AG34XF6,AG,66.14451596,36.64790688,7.47118121,1.731128841
B6,4,1,52,140.62,P157,LG3216,LG3216,84.03361632,46.50572202,7.54768626,1.696269212
B6,4,2,60,140.62,P181,AG40XFF5,AG,64.78690223,34.89227713,7.018141814,2.887652282
B6,4,3,68,140.62,P205,LG3216,LG3216,74.59677444,39.99739944,6.490421667,2.059612277
B6,4,4,76,140.62,P229,AG36XF4,AG,98.33716724,55.4702745,8.11934275,1.697233691
B6,5,0,44,151.88,P134,LG3216,LG3216,99.8185789,54.01573824,8.288931214,1.128442043
B6,5,1,52,151.88,P158,AG29XF5,AG,90.88419565,48.26913181,7.89973455,1.468215863
B6,5,2,60,151.88,P182,LG3216,LG3216,72.4384604,40.50477032,6.575103359,2.16294771
B6,5,3,68,151.88,P206,AG38XF6,AG,87.50660197,49.5347921,8.19719937,2.052129687
B6,5,4,76,151.88,P230,LG3216,LG3216,88.21625462,46.15181184,8.103286323,1.998169106
B6,6,0,44,163.12,P135,AG36XF4,AG,75.51366781,41.85991547,7.550681105,2.174365924
B6,6,1,52,163.12,P159,LG3216,LG3216,85.63554538,47.82381045,7.835658734,1.625466786
B6,6,2,60,163.12,P183,AG29XF5,AG,60.4291058,34.17078857,7.514486985,2.084856157
B6,6,3,68,163.12,P207,LG3216,LG3216,68.36230634,38.5993364,8.182272444,1.788929363
B6,6,4,76,163.12,P231,AG40XFF5,AG,81.00353212,42.55922156,6.931139352,1.874505918
B6,7,0,44,174.38,P136,LG3216,LG3216,66.55005217,36.89959508,7.281877393,2.282247665
B6,7,1,52,174.38,P160,AG35XF5,AG,66.63627472,36.49038322,7.413770046,1.995418996
B6,7,2,60,174.38,P184,LG3216,LG3216,93.45217162,51.08040625,8.871937192,1.633261618
B6,7,3,68,174.38,P208,AG29XF4,AG,99.56532011,57.02564186,8.198048137,1.751591139
B6,7,4,76,174.38,P232,LG3216,LG3216,82.23877712,46.83289912,7.807607368,1.778372545
B7,0,0,84,95.62,P249,LD20-5413,LD,93.56278924,53.67459384,7.961319081,1.492715218
B7,0,1,92,95.62,P273,AG29XF5,AG,99.61286657,56.62858228,7.774692468,1.686489381
B7,0,2,100,95.62,P297,LD22-4283,LD,65.66383554,36.91235593,6.401330635,2.232196981
B7,0,3,108,95.62,P321,AG29XF4,AG,77.92982453,42.57696283,7.757790714,2.107886559
B7,0,4,116,95.62,P345,LD21-5253,LD,75.70290863,42.35414057,7.192416434,1.794153456
B7,1,0,84,106.88,P250,AG29XF4,AG,63.20197135,34.42301066,7.09129327,2.576319899
B7,1,1,92,106.88,P274,LD20-4471,LD,90.21320691,49.39506965,8.683096148,2.03971547
B7,1,2,100,106.88,P298,AG29XF5,AG,77.35116109,43.39558607,8.164661696,1.874885289
B7,1,3,108,106.88,P322,LD20-4542,LD,78.77307737,43.35381436,7.076373374,1.934227791
B7,1,4,116,106.88,P346,AG29XF4,AG,66.02691895,34.89877322,6.808722728,2.070893594
B7,2,0,84,118.12,P251,LD20-5738,LD,67.23706609,36.01459157,7.287036823,2.526851921
B7,2,1,92,118.12,P275,AG29XF5,AG,96.28414489,53.90213309,7.714752158,1.889403771
B7,2,2,100,118.12,P299,LD21-7234,LD,61.78596356,34.33261586,6.627310292,2.685262591
B7,2,3,108,118.12,P323,AG29XF5,AG,69.3140914,37.95678701,7.260488462,1.891594386
B7,2,4,116,118.12,P347,LD11-2170,LD,71.68237321,39.94119619,7.352561989,2.121472676
B7,3,0,84,129.38,P252,AG29XF4,AG,79.6079017,42.92357556,7.977875734,1.442791191
B7,3,1,92,129.38,P276,LD20-4988,LD,83.45780692,47.71355873,9,1.735032513
B7,3,2,100,129.38,P300,AG29XF5,AG,79.73159903,44.32262887,7.028867578,2.177961235
B7,3,3,108,129.38,P324,LD20-5738,LD,63.36461338,33.02259652,7.307495667,2.38641553
B7,3,4,116,129.38,P348,AG29XF4,AG,69.74669816,39.35933757,8.098043843,1.715560882
B7,4,0,84,140.62,P253,LD20-4471,LD,93.74353539,50.25296872,8.257931213,1.756267667
B7,4,1,92,140.62,P277,AG29XF4,AG,85.50354802,44.93505046,8.157846643,1.960658696
B7,4,2,100,140.62,P301,LD20-4988,LD,85.96596201,46.69650301,8.021482571,2.22137594
B7,4,3,108,140.62,P325,AG29XF5,AG,86.80813021,45.91116287,7.374431781,1.72367242
B7,4,4,116,140.62,P349,LD20-4542,LD,90.51612076,50.11619597,7.901676486,1.830472105
B7,5,0,84,151.88,P254,AG29XF5,AG,62.32433927,33.94566779,8.434813584,1.620558624
B7,5,1,92,151.88,P278,LD11-2170,LD,74.6643354,41.10698113,8.005895254,1.968443518
B7,5,2,100,151.88,P302,AG29XF4,AG,81.58109741,45.65010938,8.020802222,2.592418092
B7,5,3,108,151.88,P326,LD22-4283,LD,73.53825933,41.38502545,6.316946557,2.424029105
B7,5,4,116,151.88,P350,AG29XF5,AG,93.77915493,51.48610031,7.743581562,1.846760883
B7,6,0,84,163.12,P255,LD21-5253,LD,79.30290034,44.83785155,7.27621295,1.830878316
B7,6,1,92,163.12,P279,AG29XF4,AG,90.74510358,50.93046924,7.969091181,1.693081486
B7,6,2,100,163.12,P303,LD20-5413,LD,94.08062068,49.34387903,7.462281267,1.966386273
B7,6,3,108,163.12,P327,AG29XF4,AG,80.19165932,43.32571767,7.55724817,1.987735494
B7,6,4,116,163.12,P351,LD21-7234,LD,96.38208975,49.96438097,7.711251349,1.742419066
B7,7,0,84,174.38,P256,AG29XF5,AG,83.48495762,45.96335802,7.700711768,1.739368683
B7,7,1,92,174.38,P280,LD20-5413,LD,94.01097195,52.432461,7.671369911,1.929740943
