plot_id,pass_id,row_in_pass,mat_group,subblock_id,subblock_type,variety_group,is_check,row,col,entry,stand_establishment_pct,yield_bu_ac,oil_pct,protein_pct
P159,T-07,15,MG2,B6,AGvC,LG3216,1,6,1,LG3216,39.37,20.29,36.53,23.07
P183,T-08,15,MG2,B6,AGvC,AG,0,6,2,AG29XF5,26.86,18.15,42.4,21.03
P207,T-09,15,MG2,B6,AGvC,LG3216,1,6,3,LG3216,94.56,53.86,38.29,23.16
P231,T-10,15,MG2,B6,AGvC,AG,0,6,4,AG40XFF5,58.62,37.31,40.16,20.63
P136,T-06,16,MG2,B6,AGvC,LG3216,1,7,0,LG3216,48.07,24.55,36.16,22.56
P160,T-07,16,MG2,B6,AGvC,AG,0,7,1,AG35XF5,69.89,31.98,35.96,20.68
P184,T-08,16,MG2,B6,AGvC,LG3216,1,7,2,LG3216,25.55,15.03,38.84,23.05
P208,T-09,16,MG2,B6,AGvC,AG,0,7,3,AG29XF4,45.85,26.32,42.16,20.44
P232,T-10,16,MG2,B6,AGvC,LG3216,1,7,4,LG3216,77.73,46.57,38.7,23.81
P249,T-11,9,MG2,B7,AGvLD,LD,0,0,0,LD20-5413,72.53,37.49,35.93,22.92
P273,T-12,9,MG2,B7,AGvLD,AG,0,0,1,AG29XF5,98.64,51.98,42.39,19.83
P297,T-13,9,MG2,B7,AGvLD,LD,0,0,2,LD22-4283,71.53,40.5,34.71,22.1
P321,T-14,9,MG2,B7,AGvLD,AG,0,0,3,AG29XF4,60.81,31.25,40.94,20.18
P345,T-15,9,MG2,B7,AGvLD,LD,0,0,4,LD21-5253,82.11,55.47,40.6,24.35
P250,T-11,10,MG2,B7,AGvLD,AG,0,1,0,AG29XF4,92.75,50.92,41.68,19.86
P274,T-12,10,MG2,B7,AGvLD,LD,0,1,1,LD20-4471,79.05,41.8,34.96,23.14
P298,T-13,10,MG2,B7,AGvLD,AG,0,1,2,AG29XF5,97.24,50.3,41.78,19.83
P322,T-14,10,MG2,B7,AGvLD,LD,0,1,3,LD20-4542,83.65,50.03,36.92,21.19
P346,T-15,10,MG2,B7,AGvLD,AG,0,1,4,AG29XF4,90.01,55.08,42.34,18.54
P251,T-11,11,MG2,B7,AGvLD,LD,0,2,0,LD20-5738,33.56,18.3,36.72,22.62
P275,T-12,11,MG2,B7,AGvLD,AG,0,2,1,AG29XF5,79.93,44.83,42.6,20.06
P299,T-13,11,MG2,B7,AGvLD,LD,0,2,2,LD21-7234,58.01,27.26,37.63,18.94
P323,T-14,11,MG2,B7,AGvLD,AG,0,2,3,AG29XF5,66.48,37.02,42.56,20.07
P347,T-15,11,MG2,B7,AGvLD,LD,0,2,4,LD11-2170,74.06,49.43,42.47,18.66
P252,T-11,12,MG2,B7,AGvLD,AG,0,3,0,AG29XF4,97.74,47.31,42.37,17.77
P276,T-12,12,MG2,B7,AGvLD,LD,0,3,1,LD20-4988,98.84,56.08,37.32,22.61
P300,T-13,12,MG2,B7,AGvLD,AG,0,3,2,AG29XF5,46.62,22.58,41.6,19.49
